POST,avgage,avgwhite,avgtenure,avgorgfarir1,avgorgfair2,avgservlead1,avgpsm1,avgintfair2,avgintfair6,avgdiversityclimate1,avgdiversityclimate3,avgcontactpressure,avgarrestpressure,avgphysicalharm,avgverbalconfrontation,avgdobserved_excluded,avgobserved_discrimated,avgyou_excluded,avgyou_discrimated,orgfair1agree,orgfair2agree,servlead2agree,psm1agree,intfair2agree,intfair6agree,diversityclimate1agree,diversityclimate3agree,diversityclimate4agree,contactpressureagree,arrestpressureagree,physicalharmagree,verbalconfrontationagree,morale_3agree,morale_4agree,empower_2agree,work_helps_comm_2agree,force_policy_2agree,comm_citizen_3agree,force_policy_3agree,career_satisfactionagree,burnout_1agree,woman_not_suitableagree
75,39.90909,0.7142857,13.18182,1.909091,2.818182,4,4.363636,4.090909,3.909091,4.545455,4.272727,4.181818,3.545455,3.545455,3.727273,0,0,0,0,0.0714286,0.2857143,0.7142857,0.7142857,0.6428571,0.5714286,0.7857143,0.6428571,0.5,0.7142857,0.4285714,0.2857143,0.4285714,0.5,0.6428571,0.7142857,0.6428571,0.0714286,0.2142857,0,0.6428571,0,0
76,36.13334,1,12.6,2.533333,2.4,3.133333,4.2,3.357143,3.285714,4.2,3.8,3.428571,3.357143,2.785714,3.571429,0.0714286,0.0714286,0,0,0.2,0.0666667,0.3333333,0.8666667,0.3333333,0.3333333,0.8666667,0.6666667,0.6,0.5333334,0.5333334,0.2,0.4666667,0.4666667,0.6,0.7333333,0.6,0,0.2,0.0666667,0.6666667,0.0666667,0.0666667
77,43.45454,0.4166667,17.72727,2.909091,2.818182,3.545455,4.272727,3.909091,3.818182,4.181818,4,3.454545,2.818182,2.636364,3.636364,0.1,0.2,0.3,0.5,0.25,0.3333333,0.5,0.9166667,0.6666667,0.5833333,0.75,0.6666667,0.6666667,0.5,0.3333333,0.1666667,0.4166667,0.5,0.75,0.75,0.6666667,0,0.25,0.0833333,0.6666667,0,0.0833333
87,35.875,0.8125,13.875,2.875,3.125,3.4375,4.3125,3.625,3.5625,4.375,4.0625,3.6875,3.3125,3.3125,3.875,0.1666667,0.0833333,0.1666667,0.25,0.3125,0.4375,0.625,0.9375,0.625,0.6875,1,0.875,0.625,0.5625,0.4375,0.375,0.6875,0.25,0.5625,0.4375,0.375,0.0625,0.125,0,0.4375,0.25,0
88,37,0.6470588,12.28571,3.230769,3.384615,2.923077,4.153846,3.357143,3.5,4.076923,3.846154,3.615385,3.615385,3.076923,3.846154,0,0,0,0,0.4117647,0.4117647,0.1764706,0.7058824,0.3529412,0.4117647,0.7058824,0.5882353,0.4117647,0.4705882,0.4705882,0.1764706,0.4705882,0.2941177,0.5294118,0.5882353,0.2352941,0.0588235,0.1764706,0.1176471,0.3529412,0.0588235,0.0588235
89,36.42857,0.4,11.85714,3.125,2.625,4.25,4.375,4.625,4.375,4.625,4.25,3.375,3,2.875,3.5,0.0769231,0,0.0769231,0.1538462,0.2666667,0.1333333,0.4666667,0.5333334,0.5333334,0.5333334,0.5333334,0.5333334,0.3333333,0.2666667,0.2,0.0666667,0.2666667,0.4666667,0.8,0.8,0.6666667,0.0666667,0.2,0.2666667,0.6,0.2,0.2
90,38.07143,0.6470588,14.42857,2.714286,2.928571,3.714286,4.071429,4.285714,3.714286,4.142857,4.142857,4,3.642857,3.153846,3.846154,0,0,0,0,0.2352941,0.2941177,0.5294118,0.7647059,0.7647059,0.5882353,0.6470588,0.6470588,0.5294118,0.6470588,0.5294118,0.2352941,0.4705882,0.1176471,0.5882353,0.5882353,0.5294118,0.0588235,0.1176471,0.2352941,0.5294118,0.2352941,0
91,37.1,0.625,14.1,1.923077,2.230769,3.230769,4,3.153846,2.769231,4.583333,4.333333,4.076923,3.769231,3.538461,3.923077,0.2857143,0.2142857,0.2142857,0.2142857,0.0625,0.125,0.375,0.6875,0.375,0.25,0.75,0.625,0.5625,0.6875,0.5625,0.375,0.625,0.375,0.3125,0.5,0.5625,0.0625,0.125,0.0625,0.5625,0.125,0
92,37.55556,0.5714286,13.55556,2.5,2.4,3.4,3.9,4.1,4.1,4.4,4.3,4.3,3.9,3.6,3.7,0.0714286,0.0714286,0.0714286,0.0714286,0.1428571,0.1428571,0.2857143,0.5,0.6428571,0.5,0.6428571,0.6428571,0.5,0.5714286,0.5,0.2857143,0.3571429,0.4285714,0.6428571,0.7142857,0.5,0.1428571,0.2142857,0.1428571,0.5,0.1428571,0
99,34.07692,0.75,10.46154,3.071429,3,3.214286,4.615385,3.846154,4,4.538462,4,3.571429,3.285714,3.285714,3.857143,0,0,0,0,0.4375,0.4375,0.3125,0.8125,0.5625,0.5625,0.75,0.625,0.5,0.5625,0.4375,0.25,0.625,0.25,0.5625,0.6875,0.5625,0,0.125,0.1875,0.625,0.125,0
